no,bw_down,cfu,to0,from1,bw20,olt1
3.D32,0.017999999,MOBILE,32,CGW*.MDO,0.12,OLT00**DMO*2BKN
3.D33,0.005,RETAIL,33,CNGoogle,0.03,OLT00**DMO*2BKN
3.D34,0.005,RETAIL,34,CNFacebook,0.03,OLT00**DMO*2BKN
3.D35,0.005,RETAIL,35,CNNetflix,0.03,OLT00**DMO*2BKN
3.D36,0.005,RETAIL,36,CNConversant,0.03,OLT00**DMO*2BKN
3.D37,0.005,EBIS,37,CNGoogle,0.03,OLT00**DMO*2BKN
3.D38,0.005,EBIS,38,CNFacebook,0.03,OLT00**DMO*2BKN
3.D39,0.005,EBIS,39,CNNetflix,0.03,OLT00**DMO*2BKN
3.D40,0.005,EBIS,40,CNConversant,0.03,OLT00**DMO*2BKN
3.D41,0.005,WHOLESALE,41,CNGoogle,0.03,OLT00**DMO*2BKN
3.D42,0.005,WHOLESALE,42,CNFacebook,0.03,OLT00**DMO*2BKN
3.D43,0.005,WHOLESALE,43,CNNetflix,0.03,OLT00**DMO*2BKN
3.D44,0.005,WHOLESALE,44,CNConversant,0.03,OLT00**DMO*2BKN
3.D45,0.009,MOBILE,45,CNGoogle,0.06,OLT00**DMO*2BKN
3.D46,0.009,MOBILE,46,CNFacebook,0.06,OLT00**DMO*2BKN
3.D47,0.009,MOBILE,47,CNNetflix,0.06,OLT00**DMO*2BKN
3.D48,0.009,MOBILE,48,CNConversant,0.06,OLT00**DMO*2BKN
3.D49,0.006,RETAIL,49,CNIptv,0.04,OLT00**DMO*2BKN
3.D50,0.006,EBIS,50,CNIptv,0.04,OLT00**DMO*2BKN
4.D1,0.005,RETAIL,1,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D2,0.005,RETAIL,2,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D3,0.005,RETAIL,3,CGW*.MDO,0.03,OLT00**DMO*3*CWS
4.D4,0.005,RETAIL,4,CGW*.PNK,0.03,OLT00**DMO*3*CWS
4.D5,0.005,RETAIL,5,TEL#_CGW2*.BDS,0.03,OLT00**DMO*3*CWS
4.D6,0.005,RETAIL,6,TEL#_CGW2**BDS,0.03,OLT00**DMO*3*CWS
4.D7,0.005,RETAIL,7,TEL#_CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D8,0.005,RETAIL,8,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D9,0.005,RETAIL,9,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D10,0.005,RETAIL,10,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D11,0.005,RETAIL,11,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D12,0.005,RETAIL,12,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D13,0.005,RETAIL,13,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D14,0.005,RETAIL,14,CGW*.MDO,0.03,OLT00**DMO*3*CWS
4.D15,0.005,RETAIL,15,CGW*.PNK,0.03,OLT00**DMO*3*CWS
4.D16,0.005,RETAIL,16,TEL#_CGW2*.BDS,0.03,OLT00**DMO*3*CWS
4.D17,0.005,RETAIL,17,TEL#_CGW2**BDS,0.03,OLT00**DMO*3*CWS
4.D18,0.005,RETAIL,18,TEL#_CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D19,0.005,RETAIL,19,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D20,0.005,RETAIL,20,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D21,0.005,RETAIL,21,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D22,0.005,RETAIL,22,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D23,0.005,RETAIL,23,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D24,0.005,RETAIL,24,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D25,0.005,RETAIL,25,CGW2*.BTC,0.03,OLT00**DMO*3*CWS
4.D26,0.005,RETAIL,26,CGW*.BDS,0.03,OLT00**DMO*3*CWS
4.D27,0.009,EBIS,27,CGW2*.BTC,0.06,OLT00**DMO*3*CWS
4.D28,0.009,EBIS,28,CGW*.BDS,0.06,OLT00**DMO*3*CWS
4.D29,0.014,WHOLESALE,29,CGW*.BDS,0.09,OLT00**DMO*3*CWS
4.D30,0.014,WHOLESALE,30,CGW*.MDO,0.09,OLT00**DMO*3*CWS
4.D31,0.017999999,MOBILE,31,CGW*.BDS,0.12,OLT00**DMO*3*CWS
4.D32,0.017999999,MOBILE,32,CGW*.MDO,0.12,OLT00**DMO*3*CWS
4.D33,0.005,RETAIL,33,CNGoogle,0.03,OLT00**DMO*3*CWS
4.D34,0.005,RETAIL,34,CNFacebook,0.03,OLT00**DMO*3*CWS
4.D35,0.005,RETAIL,35,CNNetflix,0.03,OLT00**DMO*3*CWS
4.D36,0.005,RETAIL,36,CNConversant,0.03,OLT00**DMO*3*CWS
4.D37,0.005,EBIS,37,CNGoogle,0.03,OLT00**DMO*3*CWS
4.D38,0.005,EBIS,38,CNFacebook,0.03,OLT00**DMO*3*CWS
4.D39,0.005,EBIS,39,CNNetflix,0.03,OLT00**DMO*3*CWS
4.D40,0.005,EBIS,40,CNConversant,0.03,OLT00**DMO*3*CWS
4.D41,0.005,WHOLESALE,41,CNGoogle,0.03,OLT00**DMO*3*CWS
4.D42,0.005,WHOLESALE,42,CNFacebook,0.03,OLT00**DMO*3*CWS
4.D43,0.005,WHOLESALE,43,CNNetflix,0.03,OLT00**DMO*3*CWS
4.D44,0.005,WHOLESALE,44,CNConversant,0.03,OLT00**DMO*3*CWS
4.D45,0.009,MOBILE,45,CNGoogle,0.06,OLT00**DMO*3*CWS
4.D46,0.009,MOBILE,46,CNFacebook,0.06,OLT00**DMO*3*CWS
4.D47,0.009,MOBILE,47,CNNetflix,0.06,OLT00**DMO*3*CWS
4.D48,0.009,MOBILE,48,CNConversant,0.06,OLT00**DMO*3*CWS
4.D49,0.006,RETAIL,49,CNIptv,0.04,OLT00**DMO*3*CWS
4.D50,0.006,EBIS,50,CNIptv,0.04,OLT00**DMO*3*CWS
5.D1,0.003,RETAIL,1,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D2,0.003,RETAIL,2,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D3,0.003,RETAIL,3,CGW*.MDO,0.02,OLT00**DMO*3TDR
5.D4,0.003,RETAIL,4,CGW*.PNK,0.02,OLT00**DMO*3TDR
5.D5,0.003,RETAIL,5,TEL#_CGW2*.BDS,0.02,OLT00**DMO*3TDR
5.D6,0.003,RETAIL,6,TEL#_CGW2**BDS,0.02,OLT00**DMO*3TDR
5.D7,0.003,RETAIL,7,TEL#_CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D8,0.003,RETAIL,8,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D9,0.003,RETAIL,9,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D10,0.003,RETAIL,10,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D11,0.003,RETAIL,11,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D12,0.003,RETAIL,12,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D13,0.003,RETAIL,13,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D14,0.003,RETAIL,14,CGW*.MDO,0.02,OLT00**DMO*3TDR
5.D15,0.003,RETAIL,15,CGW*.PNK,0.02,OLT00**DMO*3TDR
5.D16,0.003,RETAIL,16,TEL#_CGW2*.BDS,0.02,OLT00**DMO*3TDR
5.D17,0.003,RETAIL,17,TEL#_CGW2**BDS,0.02,OLT00**DMO*3TDR
5.D18,0.003,RETAIL,18,TEL#_CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D19,0.003,RETAIL,19,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D20,0.003,RETAIL,20,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D21,0.003,RETAIL,21,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D22,0.003,RETAIL,22,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D23,0.003,RETAIL,23,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D24,0.003,RETAIL,24,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D25,0.003,RETAIL,25,CGW2*.BTC,0.02,OLT00**DMO*3TDR
5.D26,0.003,RETAIL,26,CGW*.BDS,0.02,OLT00**DMO*3TDR
5.D27,0.006,EBIS,27,CGW2*.BTC,0.04,OLT00**DMO*3TDR
5.D28,0.006,EBIS,28,CGW*.BDS,0.04,OLT00**DMO*3TDR
5.D29,0.009,WHOLESALE,29,CGW*.BDS,0.06,OLT00**DMO*3TDR
5.D30,0.009,WHOLESALE,30,CGW*.MDO,0.06,OLT00**DMO*3TDR
5.D31,0.012,MOBILE,31,CGW*.BDS,0.08,OLT00**DMO*3TDR
5.D32,0.012,MOBILE,32,CGW*.MDO,0.08,OLT00**DMO*3TDR
5.D33,0.003,RETAIL,33,CNGoogle,0.02,OLT00**DMO*3TDR
5.D34,0.003,RETAIL,34,CNFacebook,0.02,OLT00**DMO*3TDR
5.D35,0.003,RETAIL,35,CNNetflix,0.02,OLT00**DMO*3TDR
5.D36,0.003,RETAIL,36,CNConversant,0.02,OLT00**DMO*3TDR
5.D37,0.003,EBIS,37,CNGoogle,0.02,OLT00**DMO*3TDR
5.D38,0.003,EBIS,38,CNFacebook,0.02,OLT00**DMO*3TDR
5.D39,0.003,EBIS,39,CNNetflix,0.02,OLT00**DMO*3TDR
5.D40,0.003,EBIS,40,CNConversant,0.02,OLT00**DMO*3TDR
5.D41,0.003,WHOLESALE,41,CNGoogle,0.02,OLT00**DMO*3TDR
5.D42,0.003,WHOLESALE,42,CNFacebook,0.02,OLT00**DMO*3TDR
5.D43,0.003,WHOLESALE,43,CNNetflix,0.02,OLT00**DMO*3TDR
5.D44,0.003,WHOLESALE,44,CNConversant,0.02,OLT00**DMO*3TDR
5.D45,0.006,MOBILE,45,CNGoogle,0.04,OLT00**DMO*3TDR
5.D46,0.006,MOBILE,46,CNFacebook,0.04,OLT00**DMO*3TDR
5.D47,0.006,MOBILE,47,CNNetflix,0.04,OLT00**DMO*3TDR
5.D48,0.006,MOBILE,48,CNConversant,0.04,OLT00**DMO*3TDR
5.D49,0.004,RETAIL,49,CNIptv,0.026666667,OLT00**DMO*3TDR
5.D50,0.004,EBIS,50,CNIptv,0.026666667,OLT00**DMO*3TDR
6.D1,0.003,RETAIL,1,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D2,0.003,RETAIL,2,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D3,0.003,RETAIL,3,CGW*.MDO,0.0209,OLT00**KDE*2BRJ
6.D4,0.003,RETAIL,4,CGW*.PNK,0.0209,OLT00**KDE*2BRJ
6.D5,0.003,RETAIL,5,TEL#_CGW2*.BDS,0.0209,OLT00**KDE*2BRJ
6.D6,0.003,RETAIL,6,TEL#_CGW2**BDS,0.0209,OLT00**KDE*2BRJ
6.D7,0.003,RETAIL,7,TEL#_CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D8,0.003,RETAIL,8,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D9,0.003,RETAIL,9,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D10,0.003,RETAIL,10,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D11,0.003,RETAIL,11,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D12,0.003,RETAIL,12,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D13,0.003,RETAIL,13,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D14,0.003,RETAIL,14,CGW*.MDO,0.0209,OLT00**KDE*2BRJ
6.D15,0.003,RETAIL,15,CGW*.PNK,0.0209,OLT00**KDE*2BRJ
6.D16,0.003,RETAIL,16,TEL#_CGW2*.BDS,0.0209,OLT00**KDE*2BRJ
6.D17,0.003,RETAIL,17,TEL#_CGW2**BDS,0.0209,OLT00**KDE*2BRJ
6.D18,0.003,RETAIL,18,TEL#_CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D19,0.003,RETAIL,19,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D20,0.003,RETAIL,20,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D21,0.003,RETAIL,21,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D22,0.003,RETAIL,22,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D23,0.003,RETAIL,23,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D24,0.003,RETAIL,24,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D25,0.003,RETAIL,25,CGW2*.BTC,0.0209,OLT00**KDE*2BRJ
6.D26,0.003,RETAIL,26,CGW*.BDS,0.0209,OLT00**KDE*2BRJ
6.D27,0.006,EBIS,27,CGW2*.BTC,0.0418,OLT00**KDE*2BRJ
6.D28,0.006,EBIS,28,CGW*.BDS,0.0418,OLT00**KDE*2BRJ
6.D29,0.009,WHOLESALE,29,CGW*.BDS,0.0627,OLT00**KDE*2BRJ
6.D30,0.009,WHOLESALE,30,CGW*.MDO,0.0627,OLT00**KDE*2BRJ
6.D31,0.013,MOBILE,31,CGW*.BDS,0.0836,OLT00**KDE*2BRJ
6.D32,0.013,MOBILE,32,CGW*.MDO,0.0836,OLT00**KDE*2BRJ
6.D33,0.003,RETAIL,33,CNGoogle,0.0209,OLT00**KDE*2BRJ
6.D34,0.003,RETAIL,34,CNFacebook,0.0209,OLT00**KDE*2BRJ
6.D35,0.003,RETAIL,35,CNNetflix,0.0209,OLT00**KDE*2BRJ
6.D36,0.003,RETAIL,36,CNConversant,0.0209,OLT00**KDE*2BRJ
6.D37,0.003,EBIS,37,CNGoogle,0.0209,OLT00**KDE*2BRJ
6.D38,0.003,EBIS,38,CNFacebook,0.0209,OLT00**KDE*2BRJ
6.D39,0.003,EBIS,39,CNNetflix,0.0209,OLT00**KDE*2BRJ
6.D40,0.003,EBIS,40,CNConversant,0.0209,OLT00**KDE*2BRJ
6.D41,0.003,WHOLESALE,41,CNGoogle,0.0209,OLT00**KDE*2BRJ
6.D42,0.003,WHOLESALE,42,CNFacebook,0.0209,OLT00**KDE*2BRJ
6.D43,0.003,WHOLESALE,43,CNNetflix,0.0209,OLT00**KDE*2BRJ
6.D44,0.003,WHOLESALE,44,CNConversant,0.0209,OLT00**KDE*2BRJ
6.D45,0.006,MOBILE,45,CNGoogle,0.0418,OLT00**KDE*2BRJ
6.D46,0.006,MOBILE,46,CNFacebook,0.0418,OLT00**KDE*2BRJ
6.D47,0.006,MOBILE,47,CNNetflix,0.0418,OLT00**KDE*2BRJ
6.D48,0.006,MOBILE,48,CNConversant,0.0418,OLT00**KDE*2BRJ
6.D49,0.004,RETAIL,49,CNIptv,0.027866667,OLT00**KDE*2BRJ
6.D50,0.004,EBIS,50,CNIptv,0.027866667,OLT00**KDE*2BRJ
7.D1,0.003,RETAIL,1,CGW2*.BTC,0.0209,OLT00**KDE*2GND
7.D2,0.003,RETAIL,2,CGW*.BDS,0.0209,OLT00**KDE*2GND
7.D3,0.003,RETAIL,3,CGW*.MDO,0.0209,OLT00**KDE*2GND
7.D4,0.003,RETAIL,4,CGW*.PNK,0.0209,OLT00**KDE*2GND
7.D5,0.003,RETAIL,5,TEL#_CGW2*.BDS,0.0209,OLT00**KDE*2GND
7.D6,0.003,RETAIL,6,TEL#_CGW2**BDS,0.0209,OLT00**KDE*2GND
7.D7,0.003,RETAIL,7,TEL#_CGW*.BDS,0.0209,OLT00**KDE*2GND
7.D8,0.003,RETAIL,8,CGW2*.BTC,0.0209,OLT00**KDE*2GND
7.D9,0.003,RETAIL,9,CGW*.BDS,0.0209,OLT00**KDE*2GND
7.D10,0.003,RETAIL,10,CGW2*.BTC,0.0209,OLT00**KDE*2GND
7.D11,0.003,RETAIL,11,CGW*.BDS,0.0209,OLT00**KDE*2GND
7.D12,0.003,RETAIL,12,CGW2*.BTC,0.0209,OLT00**KDE*2GND
7.D13,0.003,RETAIL,13,CGW*.BDS,0.0209,OLT00**KDE*2GND
